,datetime,ghi,SZA,TOA,cams,lsasaf,era,merra
20371,2021-04-28 19:00:00,394.81666666666666,57.5140939023658,720.2629129973717,334.17650000000003,325.625005,195.76889,375.375
20372,2021-04-28 20:00:00,258.5833333333333,72.07275238284026,412.7848531621536,200.6675,176.900003,97.35111,180.9375
20386,2021-04-29 10:00:00,22.616666666666667,76.03958606368764,323.36187407602824,17.9169,44.5250005,108.48,68.625
20387,2021-04-29 11:00:00,50.63333333333333,61.50225598140713,639.5143293874697,68.4973,156.225,327.71555,192.9375
20388,2021-04-29 12:00:00,270.3833333333333,46.986245072043076,914.35318813467,242.6979,331.525,543.7156,350.25
20389,2021-04-29 13:00:00,357.45,32.60270851298664,1129.148636286696,338.5053,493.075005,717.63556,475.25
20390,2021-04-29 14:00:00,433.3333333333333,18.744280265301665,1269.2627190182493,275.0543,537.42501,794.6311,557.0
20391,2021-04-29 15:00:00,511.26666666666665,8.63842726760898,1325.1468931406437,334.9068,598.2,625.44,627.25
20392,2021-04-29 16:00:00,545.95,15.276288781561751,1292.9927445404026,482.4595,557.525,600.4089,635.5
20393,2021-04-29 17:00:00,385.06666666666666,28.761636248319927,1174.9915253073893,537.5898,653.97501,523.32446,571.5
20394,2021-04-29 18:00:00,371.4,43.0680628022665,979.184823526099,420.3031,471.1000075,490.4711,457.875
20395,2021-04-29 19:00:00,283.56666666666666,57.563539640308775,718.9165423370517,179.013,98.1500025,240.97778,324.0
20396,2021-04-29 20:00:00,77.43333333333334,72.10191047298667,411.92353498961,145.9734,94.2250025,111.21778,168.3125
20410,2021-04-30 10:00:00,33.166666666666664,75.99002134768284,324.3215301289344,23.6536,32.05,102.00889,100.875
20411,2021-04-30 11:00:00,147.16666666666666,61.472651892540945,639.7964521747388,156.86419999999998,260.2750075,299.05777,245.75
20412,2021-04-30 12:00:00,521.4736842105264,46.98044551260934,913.9860685665626,501.4805,554.625,509.5289,410.25
20413,2021-04-30 13:00:00,684.1166666666667,32.631909354532844,1128.2048100670681,599.911,747.4,731.2,576.0
20414,2021-04-30 14:00:00,778.1833333333333,18.8453603728849,1267.854023456205,792.2429,935.275,844.30225,706.25
20415,2021-04-30 15:00:00,880.05,8.933632080384674,1323.4168456227399,900.2516,1017.225,795.94666,752.75
20416,2021-04-30 16:00:00,887.65,15.474152393481925,1291.1067620579288,850.0322,958.25,697.0489,751.75
20417,2021-04-30 17:00:00,790.6166666666667,28.87402614501068,1173.1256515617758,802.6142,901.45001,625.13776,667.75
20418,2021-04-30 18:00:00,637.0333333333333,43.14140141385887,977.5137318415902,709.8475,736.125,477.10223,523.75
20419,2021-04-30 19:00:00,502.6666666666667,57.611581749351004,717.6016319623208,484.9578,517.675015,362.00888,321.125
20420,2021-04-30 20:00:00,259.3,72.12939348454307,411.1019320056861,204.904,150.475,131.62666,153.8125
20434,2021-05-01 10:00:00,168.63333333333333,75.94340212364351,325.21455770487944,175.7026,205.30000125,111.36,123.59375
